event_name,sport_name
"Equestrianism Men's Dressage, Individual",Equestrianism
"Equestrianism Men's Dressage, Team",Equestrianism
"Tennis Women's Singles, Covered Courts",Tennis
Diving Men's Plain High,Diving
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Shooting
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Shooting
Swimming Women's 800 metres Freestyle,Swimming
Sailing Women's Two Person Dinghy,Sailing
"Shooting Men's Free Pistol, 50 metres, Team",Shooting
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Shooting
"Shooting Men's Military Rifle, Prone, 300 metres, Team",Shooting
"Shooting Men's Military Rifle, Prone, 600 metres, Team",Shooting
"Shooting Men's Military Rifle, Standing, 300 metres, Team",Shooting
"Shooting Men's Free Rifle, Prone, 600 metres",Shooting
"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Shooting
Rowing Men's Single Sculls,Rowing
"Cycling Men's Tandem Sprint, 2,000 metres",Cycling
Athletics Women's Heptathlon,Athletics
Cycling Men's Points Race,Cycling
Synchronized Swimming Women's Solo,Synchronized Swimming
"Equestrianism Mixed Dressage, Individual",Equestrianism
"Equestrianism Mixed Dressage, Team",Equestrianism
Swimming Men's 100 metres Breaststroke,Swimming
"Shooting Mixed Free Pistol, 50 metres",Shooting
Sailing Women's Skiff,Sailing
"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing
Triathlon Men's Olympic Distance,Triathlon
Sailing Women's One Person Dinghy,Sailing
Rowing Men's 17-Man Naval Rowing Boats,Rowing
Beach Volleyball Women's Beach Volleyball,Beach Volleyball
Weightlifting Men's Super-Heavyweight,Weightlifting
Rowing Men's Lightweight Coxless Fours,Rowing
"Wrestling Men's Light-Flyweight, Greco-Roman",Wrestling
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing
Sailing Mixed 5.5 metres,Sailing
"Equestrianism Mixed Jumping, Team",Equestrianism
Diving Men's Synchronized Platform,Diving
"Canoeing Women's Kayak Singles, Slalom",Canoeing
Weightlifting Women's Flyweight,Weightlifting
Swimming Women's 100 metres Breaststroke,Swimming
Swimming Women's 200 metres Breaststroke,Swimming
"Wrestling Men's Middleweight B, Greco-Roman",Wrestling
Athletics Men's Stone Throw,Athletics
"Athletics Men's Javelin Throw, Freestyle",Athletics
Athletics Men's Pentathlon (Ancient),Athletics
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Shooting
Swimming Women's 100 metres Butterfly,Swimming
Weightlifting Men's Heavyweight I,Weightlifting
"Athletics Women's 3,000 metres Steeplechase",Athletics
"Athletics Men's Shot Put, Both Hands",Athletics
Shooting Women's Trap,Shooting
Badminton Men's Doubles,Badminton
Swimming Women's 4 x 200 metres Freestyle Relay,Swimming
Athletics Men's 10 kilometres Walk,Athletics
Athletics Women's 20 kilometres Walk,Athletics
Athletics Women's 80 metres Hurdles,Athletics
Sailing Men's One Person Heavyweight Dinghy,Sailing
"Art Competitions Mixed Painting, Paintings",Art Competitions
"Tennis Mixed Doubles, Covered Courts",Tennis
Cycling Men's Madison,Cycling
"Art Competitions Mixed Sculpturing, Statues",Art Competitions
Rugby Men's Rugby,Rugby
Weightlifting Men's Heavyweight II,Weightlifting
"Canoeing Women's Kayak Doubles, 500 metres",Canoeing
Cycling Men's Individual Time Trial,Cycling
Judo Women's Heavyweight,Judo
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing
"Gymnastics Men's Individual All-Around, 5 Events",Gymnastics
"Wrestling Men's Super-Heavyweight, Freestyle",Wrestling
"Fencing Women's Sabre, Team",Fencing
Shooting Men's Double Trap,Shooting
Weightlifting Men's Bantamweight,Weightlifting
Taekwondo Men's Heavyweight,Taekwondo
Sailing Mixed Windsurfer,Sailing
Taekwondo Women's Welterweight,Taekwondo
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Shooting
Cycling Men's 50 kilometres,Cycling
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Shooting
Cycling Men's 333 metres Time Trial,Cycling
Cycling Men's 20 kilometres,Cycling
"Canoeing Men's Kayak Singles, 10,000 metres",Canoeing
Sailing Mixed Open,Sailing
Sailing Mixed 1-2 Ton,Sailing
"Canoeing Men's Canadian Singles, Slalom",Canoeing
Sailing Mixed Multihull,Sailing
Badminton Women's Doubles,Badminton
Diving Women's Synchronized Platform,Diving
Athletics Women's Triple Jump,Athletics
"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions
"Shooting Men's Dueling Pistol, 30 metres",Shooting
Boxing Women's Lightweight,Boxing
Cycling Women's BMX,Cycling
"Canoeing Men's Kayak Doubles, 200 metres",Canoeing
"Fencing Men's Sabre, Masters, Individual",Fencing
Lacrosse Men's Lacrosse,Lacrosse
"Canoeing Women's Kayak Singles, 500 metres",Canoeing
Athletics Women's 10 kilometres Walk,Athletics
Sailing Mixed 12 metres,Sailing
Judo Women's Extra-Lightweight,Judo
Diving Men's Synchronized Springboard,Diving
"Rowing Men's Coxed Fours, Outriggers",Rowing
Gymnastics Men's Rope Climbing,Gymnastics
Sailing Mixed Two Person Dinghy,Sailing
"Art Competitions Mixed Architecture, Unknown Event",Art Competitions
"Archery Men's Target Archery, 28 metres, Team",Archery
"Archery Men's Target Archery, 33 metres, Team",Archery
"Archery Men's Target Archery, 50 metres, Team",Archery
"Shooting Men's Running Target, 10 metres",Shooting
Polo Men's Polo,Polo
"Rowing Men's Coxed Fours, Inriggers",Rowing
Cycling Men's BMX,Cycling
Art Competitions Mixed Sculpturing,Art Competitions
"Athletics Men's Cross-Country, Individual",Athletics
"Athletics Men's Cross-Country, Team",Athletics
Sailing Mixed 40 metres,Sailing
Gymnastics Men's Club Swinging,Gymnastics
Tennis Women's Singles,Tennis
Tennis Mixed Doubles,Tennis
Tennis Women's Doubles,Tennis
Judo Women's Middleweight,Judo
Judo Women's Lightweight,Judo
"Canoeing Women's Kayak Singles, 200 metres",Canoeing
Canoeing Men's Kayak Relay 4 x 500 metres,Canoeing
"Athletics Men's 3,000 metres, Team",Athletics
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Shooting
"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Shooting
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Shooting
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Shooting
"Shooting Men's Military Pistol, Team",Shooting
Rowing Women's Coxed Fours,Rowing
"Weightlifting Men's Unlimited, One Hand",Weightlifting
"Canoeing Men's Canadian Singles, 500 metres",Canoeing
"Fencing Men's Foil, Masters, Individual",Fencing
"Fencing Men's epee, Masters, Individual",Fencing
"Gymnastics Men's Individual All-Around, Field Sports",Gymnastics
"Gymnastics Men's Individual All-Around, Apparatus Work",Gymnastics
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions
"Fencing Women's epee, Team",Fencing
"Swimming Men's 4,000 metres Freestyle",Swimming
Swimming Men's Underwater Swimming,Swimming
Sailing Mixed Skiff,Sailing
"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Shooting
"Shooting Men's Running Target, Single And Double Shot",Shooting
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Shooting
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",Shooting
Swimming Women's 10 kilometres Open Water,Swimming
"Cycling Men's Team Pursuit, 1,980 yards",Cycling
"Cycling Men's 5,000 metres",Cycling
Cycling Men's 100 kilometres,Cycling
Cricket Men's Cricket,Cricket
"Canoeing Men's Canadian Singles, 10,000 metres",Canoeing
Boxing Women's Middleweight,Boxing
Sailing Men's Skiff,Sailing
Athletics Men's Pentathlon,Athletics
"Swimming Men's 1,200 metres Freestyle",Swimming
Shooting Women's Skeet,Shooting
Cycling Men's 1/4 mile,Cycling
Cycling Men's 1/2 mile,Cycling
Cycling Men's 5 mile,Cycling
Cycling Men's 25 mile,Cycling
"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Shooting
"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Shooting
"Shooting Men's Free Rifle, 1,000 Yards",Shooting
Cycling Women's Team Pursuit,Cycling
"Athletics Men's 3,000 metres Walk",Athletics
"Shooting Mixed Running Target, 50 metres",Shooting
Cycling Women's Individual Time Trial,Cycling
"Fencing Women's Sabre, Individual",Fencing
"Fencing Men's Sabre, Individual, Three Hits",Fencing
Archery Women's Double National Round,Archery
Cycling Men's Omnium,Cycling
Equestrianism Mixed Hacks And Hunter Combined,Equestrianism
Sailing Mixed 10 metres,Sailing
"Shooting Men's Trap, Team",Shooting
"Cycling Women's Individual Pursuit, 3,000 metres",Cycling
Cycling Women's Points Race,Cycling
Sailing Men's Two Person Keelboat,Sailing
Cycling Men's Keirin,Cycling
Cycling Men's Team Sprint,Cycling
Athletics Men's 5 mile,Athletics
"Shooting Men's Running Target, Single Shot, Team",Shooting
Ice Hockey Men's Ice Hockey,Ice Hockey
Racquets Men's Singles,Racquets
Racquets Men's Doubles,Racquets
"Art Competitions Mixed Literature, Lyric Works",Art Competitions
Motorboating Mixed A-Class (Open),Motorboating
Archery Men's Continental Style,Archery
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions
"Wrestling Women's Flyweight, Freestyle",Wrestling
"Art Competitions Mixed Literature, Unknown Event",Art Competitions
Sailing Mixed 0.5-1 Ton,Sailing
"Art Competitions Mixed Painting, Applied Arts",Art Competitions
"Croquet Mixed Singles, One Ball",Croquet
Croquet Mixed Doubles,Croquet
"Shooting Men's Running Target, Double Shot, Team",Shooting
"Shooting Men's Free Pistol, 50 yards",Shooting
"Shooting Men's Free Pistol, 50 yards, Team",Shooting
"Fencing Men's epee, Masters and Amateurs, Individual",Fencing
Swimming Men's 10 kilometres Open Water,Swimming
"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions
Archery Men's Double York Round,Archery
"Wrestling Women's Middleweight, Freestyle",Wrestling
"Equestrianism Men's Vaulting, Individual",Equestrianism
Swimming Men's 4 x 250 metres Freestyle Relay,Swimming
Table Tennis Women's Team,Table Tennis
Athletics Women's Hammer Throw,Athletics
"Canoeing Men's Kayak Singles, 200 metres",Canoeing
Shooting Women's Double Trap,Shooting
Rowing Men's 6-Man Naval Rowing Boats,Rowing
Art Competitions Mixed Music,Art Competitions
"Shooting Men's Free Rifle, Kneeling, 300 metres",Shooting
"Shooting Men's Free Rifle, Prone, 300 metres",Shooting
"Shooting Men's Free Rifle, Standing, 300 metres",Shooting
"Athletics Men's 3,200 metres Steeplechase",Athletics
Rowing Women's Coxless Fours,Rowing
"Tennis Men's Doubles, Covered Courts",Tennis
"Tennis Men's Singles, Covered Courts",Tennis
Cycling Men's 25 kilometres,Cycling
"Shooting Men's Military Rifle, 200 metres",Shooting
Athletics Men's Standing Triple Jump,Athletics
Rowing Men's Coxed Pairs (1 kilometres),Rowing
"Shooting Men's Military Pistol, 30 metres",Shooting
Cycling Women's Keirin,Cycling
"Archery Men's Au Cordon Dore, 50 metres",Archery
Figure Skating Men's Singles,Figure Skating
Figure Skating Mixed Pairs,Figure Skating
Swimming Women's 300 metres Freestyle,Swimming
"Canoeing Men's Canadian Singles, 200 metres",Canoeing
Sailing Mixed 30 metres,Sailing
"Athletics Men's 4,000 metres Steeplechase",Athletics
"Athletics Men's 5,000 metres, Team",Athletics
Rowing Men's Coxed Pairs (1 mile),Rowing
Art Competitions Mixed Unknown Event,Art Competitions
Cycling Women's Omnium,Cycling
Swimming Men's 200 metres Obstacle Course,Swimming
Swimming Men's 200 metres Team Swimming,Swimming
Sailing Mixed 12 foot,Sailing
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions
"Art Competitions Mixed Music, Vocals",Art Competitions
"Art Competitions Mixed Literature, Dramatic Works",Art Competitions
Jeu De Paume Men's Singles,Jeu De Paume
Sailing Mixed 10-20 Ton,Sailing
Cycling Men's 1/3 mile,Cycling
Cycling Men's 1 mile,Cycling
Cycling Men's 2 mile,Cycling
"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions
"Athletics Men's 1,600 metres Medley Relay",Athletics
"Croquet Mixed Singles, Two Balls",Croquet
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Canoeing
Athletics Men's 60 metres,Athletics
Sailing Mixed 2-3 Ton,Sailing
"Shooting Men's Military Rifle, Prone, 600 metres",Shooting
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing
"Shooting Men's Dueling Pistol, 30 metres, Team",Shooting
"Gymnastics Men's Parallel Bars, Teams",Gymnastics
"Gymnastics Men's Horizontal Bar, Teams",Gymnastics
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Shooting
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions
"Athletics Men's 1,500 metres Walk",Athletics
"Athletics Men's 3 mile, Team",Athletics
"Art Competitions Mixed Sculpturing, Medals",Art Competitions
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Shooting
"Equestrianism Men's Vaulting, Team",Equestrianism
"Shooting Men's Free Rifle, Any Position, 300 metres",Shooting
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",Shooting
Swimming Men's 100 Yard Backstroke,Swimming
Swimming Men's 440 Yard Breaststroke,Swimming
"Art Competitions Mixed Literature, Epic Works",Art Competitions
Art Competitions Mixed Architecture,Art Competitions
"Athletics Men's 3,500 metres Walk",Athletics
Roque Men's Singles,Roque
Gymnastics Men's Side Horse,Gymnastics
Archery Men's Double American Round,Archery
Archery Men's Team Round,Archery
"Archery Men's Target Archery, 33 metres, Individual",Archery
"Archery Men's Target Archery, 50 metres, Individual",Archery
"Swimming Men's 1,000 metres Freestyle",Swimming
Athletics Men's 10 mile Walk,Athletics
"Athletics Men's Discus Throw, Both Hands",Athletics
Golf Men's Team,Golf
Sailing Mixed 0-0.5 Ton,Sailing
Sailing Mixed 20+ Ton,Sailing
Cycling Women's Team Sprint,Cycling
