event_name,Year,Season,City,Games
Boxing Men's Super-Heavyweight,2004,Summer,Athina,2004 Summer
"Shooting Men's Free Pistol, 50 metres",1952,Summer,Helsinki,1952 Summer
Rhythmic Gymnastics Women's Individual,2012,Summer,London,2012 Summer
"Fencing Men's Sabre, Team",1980,Summer,Moskva,1980 Summer
Gymnastics Men's Team All-Around,2000,Summer,Sydney,2000 Summer
Swimming Men's 200 metres Backstroke,2004,Summer,Athina,2004 Summer
Athletics Men's 110 metres Hurdles,1948,Summer,London,1948 Summer
Cycling Men's Madison,2004,Summer,Athina,2004 Summer
"Cycling Men's Individual Pursuit, 4,000 metres",2008,Summer,Beijing,2008 Summer
Weightlifting Men's Heavyweight,1920,Summer,Antwerpen,1920 Summer
Swimming Men's 200 metres Breaststroke,1948,Summer,London,1948 Summer
"Wrestling Men's Bantamweight, Greco-Roman",1988,Summer,Seoul,1988 Summer
Gymnastics Women's Individual All-Around,2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Women's Floor Exercise,2016,Summer,Rio de Janeiro,2016 Summer
Shooting Mixed Skeet,1968,Summer,Mexico City,1968 Summer
Shooting Mixed Skeet,1972,Summer,Munich,1972 Summer
"Canoeing Women's Kayak Singles, 200 metres",2012,Summer,London,2012 Summer
"Canoeing Women's Kayak Singles, 500 metres",2012,Summer,London,2012 Summer
Rowing Men's Coxless Fours,1904,Summer,St. Louis,1904 Summer
Athletics Men's 800 metres,2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Women's Individual All-Around,1996,Summer,Atlanta,1996 Summer
Gymnastics Women's Team All-Around,1996,Summer,Atlanta,1996 Summer
Gymnastics Women's Floor Exercise,1996,Summer,Atlanta,1996 Summer
Gymnastics Women's Horse Vault,1996,Summer,Atlanta,1996 Summer
Gymnastics Women's Uneven Bars,1996,Summer,Atlanta,1996 Summer
Gymnastics Women's Balance Beam,1996,Summer,Atlanta,1996 Summer
Gymnastics Women's Individual All-Around,2000,Summer,Sydney,2000 Summer
Gymnastics Women's Team All-Around,2000,Summer,Sydney,2000 Summer
Gymnastics Women's Floor Exercise,2000,Summer,Sydney,2000 Summer
Gymnastics Women's Horse Vault,2000,Summer,Sydney,2000 Summer
Gymnastics Women's Uneven Bars,2000,Summer,Sydney,2000 Summer
Gymnastics Women's Balance Beam,2000,Summer,Sydney,2000 Summer
"Wrestling Men's Lightweight, Greco-Roman",2000,Summer,Sydney,2000 Summer
Table Tennis Women's Doubles,1992,Summer,Barcelona,1992 Summer
Tennis Women's Singles,2008,Summer,Beijing,2008 Summer
Swimming Women's 200 metres Individual Medley,2004,Summer,Athina,2004 Summer
Swimming Women's 400 metres Individual Medley,2004,Summer,Athina,2004 Summer
Athletics Women's 4 x 400 metres Relay,1992,Summer,Barcelona,1992 Summer
Swimming Men's 100 metres Backstroke,1936,Summer,Berlin,1936 Summer
Rowing Men's Lightweight Coxless Fours,2000,Summer,Sydney,2000 Summer
Rowing Men's Lightweight Coxless Fours,2004,Summer,Athina,2004 Summer
Boxing Men's Middleweight,1988,Summer,Seoul,1988 Summer
Judo Women's Lightweight,2012,Summer,London,2012 Summer
Judo Women's Lightweight,2016,Summer,Rio de Janeiro,2016 Summer
"Shooting Men's Air Rifle, 10 metres",1992,Summer,Barcelona,1992 Summer
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1996,Summer,Atlanta,1996 Summer
Hockey Men's Hockey,1980,Summer,Moskva,1980 Summer
Sailing Mixed One Person Dinghy,1924,Summer,Paris,1924 Summer
Sailing Mixed 6 metres,1924,Summer,Paris,1924 Summer
Sailing Mixed One Person Dinghy,1928,Summer,Amsterdam,1928 Summer
Sailing Mixed One Person Dinghy,1932,Summer,Los Angeles,1932 Summer
Athletics Women's High Jump,2016,Summer,Rio de Janeiro,2016 Summer
Sailing Women's One Person Dinghy,1996,Summer,Atlanta,1996 Summer
Sailing Women's One Person Dinghy,2000,Summer,Sydney,2000 Summer
Sailing Women's One Person Dinghy,2004,Summer,Athina,2004 Summer
Volleyball Men's Volleyball,1980,Summer,Moskva,1980 Summer
Volleyball Men's Volleyball,1988,Summer,Seoul,1988 Summer
Rowing Women's Double Sculls,1996,Summer,Atlanta,1996 Summer
"Equestrianism Mixed Jumping, Individual",1968,Summer,Mexico City,1968 Summer
Boxing Men's Light-Welterweight,1964,Summer,Tokyo,1964 Summer
Canoeing Men's Kayak Relay 4 x 500 metres,1960,Summer,Roma,1960 Summer
Athletics Men's Javelin Throw,2016,Summer,Rio de Janeiro,2016 Summer
"Fencing Men's Sabre, Individual",1960,Summer,Roma,1960 Summer
"Fencing Men's Sabre, Team",1960,Summer,Roma,1960 Summer
Cycling Men's Sprint,1900,Summer,Paris,1900 Summer
"Athletics Men's 1,500 metres",1912,Summer,Stockholm,1912 Summer
"Athletics Men's 3,000 metres, Team",1912,Summer,Stockholm,1912 Summer
Weightlifting Men's Lightweight,1976,Summer,Montreal,1976 Summer
Weightlifting Men's Lightweight,1980,Summer,Moskva,1980 Summer
Athletics Men's Decathlon,2000,Summer,Sydney,2000 Summer
Athletics Men's 800 metres,1920,Summer,Antwerpen,1920 Summer
"Athletics Men's 3,000 metres Steeplechase",1920,Summer,Antwerpen,1920 Summer
"Athletics Men's 3,000 metres, Team",1920,Summer,Antwerpen,1920 Summer
"Athletics Men's 3,000 metres Steeplechase",1924,Summer,Paris,1924 Summer
"Athletics Men's 3,000 metres, Team",1924,Summer,Paris,1924 Summer
Water Polo Men's Water Polo,1924,Summer,Paris,1924 Summer
"Equestrianism Mixed Three-Day Event, Individual",1984,Summer,Los Angeles,1984 Summer
"Equestrianism Mixed Three-Day Event, Team",1984,Summer,Los Angeles,1984 Summer
"Equestrianism Mixed Three-Day Event, Individual",1988,Summer,Seoul,1988 Summer
"Equestrianism Mixed Three-Day Event, Team",1988,Summer,Seoul,1988 Summer
Weightlifting Men's Lightweight,1972,Summer,Munich,1972 Summer
Rowing Women's Single Sculls,1980,Summer,Moskva,1980 Summer
"Shooting Men's Free Pistol, 50 metres",1948,Summer,London,1948 Summer
Boxing Men's Flyweight,2004,Summer,Athina,2004 Summer
"Canoeing Women's Kayak Singles, 200 metres",2016,Summer,Rio de Janeiro,2016 Summer
Sailing Mixed 6 metres,1948,Summer,London,1948 Summer
Sailing Mixed 6 metres,1952,Summer,Helsinki,1952 Summer
Water Polo Men's Water Polo,1920,Summer,Antwerpen,1920 Summer
Swimming Men's 100 metres Freestyle,1920,Summer,Antwerpen,1920 Summer
Water Polo Men's Water Polo,1932,Summer,Los Angeles,1932 Summer
"Athletics Men's 3,000 metres Steeplechase",2004,Summer,Athina,2004 Summer
"Shooting Women's Air Pistol, 10 metres",2012,Summer,London,2012 Summer
Athletics Women's 4 x 400 metres Relay,2016,Summer,Rio de Janeiro,2016 Summer
Swimming Women's 100 metres Butterfly,1996,Summer,Atlanta,1996 Summer
"Wrestling Men's Welterweight, Freestyle",1960,Summer,Roma,1960 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",1972,Summer,Munich,1972 Summer
Swimming Women's 400 metres Freestyle,1968,Summer,Mexico City,1968 Summer
Swimming Women's 800 metres Freestyle,1968,Summer,Mexico City,1968 Summer
Swimming Women's 4 x 100 metres Freestyle Relay,1968,Summer,Mexico City,1968 Summer
Swimming Women's 400 metres Individual Medley,1968,Summer,Mexico City,1968 Summer
Swimming Women's 100 metres Butterfly,1972,Summer,Munich,1972 Summer
Synchronized Swimming Women's Solo,1984,Summer,Los Angeles,1984 Summer
Boxing Men's Featherweight,1972,Summer,Munich,1972 Summer
"Wrestling Men's Light-Heavyweight, Freestyle",2016,Summer,Rio de Janeiro,2016 Summer
"Canoeing Men's Kayak Doubles, 500 metres",2000,Summer,Sydney,2000 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",2000,Summer,Sydney,2000 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",2004,Summer,Athina,2004 Summer
Athletics Men's Standing Long Jump,1906,Summer,Athina,1906 Summer
Athletics Men's Hammer Throw,1968,Summer,Mexico City,1968 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",1980,Summer,Moskva,1980 Summer
"Canoeing Men's Kayak Doubles, 500 metres",1984,Summer,Los Angeles,1984 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",1984,Summer,Los Angeles,1984 Summer
Athletics Women's Long Jump,1968,Summer,Mexico City,1968 Summer
Athletics Women's Pole Vault,2000,Summer,Sydney,2000 Summer
Rowing Men's Coxed Fours,1900,Summer,Paris,1900 Summer
"Equestrianism Men's Three-Day Event, Individual",1956,Summer,Stockholm,1956 Summer
"Equestrianism Men's Three-Day Event, Team",1956,Summer,Stockholm,1956 Summer
Boxing Men's Flyweight,1984,Summer,Los Angeles,1984 Summer
Weightlifting Men's Light-Heavyweight,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's Triple Jump,1972,Summer,Munich,1972 Summer
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",1908,Summer,London,1908 Summer
"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",1908,Summer,London,1908 Summer
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",1908,Summer,London,1908 Summer
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",1908,Summer,London,1908 Summer
Athletics Women's 400 metres,1964,Summer,Tokyo,1964 Summer
Athletics Women's 800 metres,1976,Summer,Montreal,1976 Summer
"Athletics Women's 1,500 metres",1976,Summer,Montreal,1976 Summer
Swimming Women's 4 x 100 metres Freestyle Relay,1984,Summer,Los Angeles,1984 Summer
"Cycling Men's Road Race, Individual",2004,Summer,Athina,2004 Summer
Swimming Women's 400 metres Freestyle,1988,Summer,Seoul,1988 Summer
Swimming Women's 800 metres Freestyle,1988,Summer,Seoul,1988 Summer
Synchronized Swimming Women's Solo,1988,Summer,Seoul,1988 Summer
Swimming Women's 100 metres Freestyle,1964,Summer,Tokyo,1964 Summer
"Shooting Men's Military Pistol, Team",1920,Summer,Antwerpen,1920 Summer
"Shooting Men's Free Rifle, Three Positions, 300 metres",1920,Summer,Antwerpen,1920 Summer
"Wrestling Men's Featherweight, Greco-Roman",2008,Summer,Beijing,2008 Summer
Athletics Men's 400 metres,1924,Summer,Paris,1924 Summer
Athletics Men's 800 metres,1924,Summer,Paris,1924 Summer
Boxing Men's Light-Middleweight,1976,Summer,Montreal,1976 Summer
Table Tennis Men's Doubles,1992,Summer,Barcelona,1992 Summer
Weightlifting Women's Super-Heavyweight,2012,Summer,London,2012 Summer
"Wrestling Women's Lightweight, Freestyle",2008,Summer,Beijing,2008 Summer
"Wrestling Women's Lightweight, Freestyle",2012,Summer,London,2012 Summer
Swimming Women's 200 metres Backstroke,2008,Summer,Beijing,2008 Summer
Polo Men's Polo,1936,Summer,Berlin,1936 Summer
"Fencing Men's Foil, Team",1920,Summer,Antwerpen,1920 Summer
Athletics Men's 200 metres,1964,Summer,Tokyo,1964 Summer
Swimming Women's 100 metres Freestyle,1976,Summer,Montreal,1976 Summer
Swimming Women's 200 metres Freestyle,1976,Summer,Montreal,1976 Summer
Swimming Women's 4 x 100 metres Freestyle Relay,1976,Summer,Montreal,1976 Summer
Sailing Mixed Three Person Keelboat,1960,Summer,Roma,1960 Summer
"Gymnastics Men's Team All-Around, Swedish System",1912,Summer,Stockholm,1912 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",1984,Summer,Los Angeles,1984 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",1988,Summer,Seoul,1988 Summer
"Shooting Men's Free Pistol, 50 metres",1936,Summer,Berlin,1936 Summer
"Shooting Men's Free Rifle, Three Positions, 300 metres",1952,Summer,Helsinki,1952 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",1968,Summer,Mexico City,1968 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",1936,Summer,Berlin,1936 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1936,Summer,Berlin,1936 Summer
Athletics Women's 800 metres,1972,Summer,Munich,1972 Summer
"Athletics Women's 1,500 metres",1972,Summer,Munich,1972 Summer
Judo Men's Half-Lightweight,2016,Summer,Rio de Janeiro,2016 Summer
Judo Men's Lightweight,2016,Summer,Rio de Janeiro,2016 Summer
"Wrestling Men's Bantamweight, Greco-Roman",1968,Summer,Mexico City,1968 Summer
"Wrestling Men's Featherweight, Greco-Roman",1988,Summer,Seoul,1988 Summer
Boxing Men's Light-Middleweight,1984,Summer,Los Angeles,1984 Summer
"Equestrianism Mixed Jumping, Individual",1964,Summer,Tokyo,1964 Summer
"Equestrianism Mixed Jumping, Team",1964,Summer,Tokyo,1964 Summer
Volleyball Women's Volleyball,1968,Summer,Mexico City,1968 Summer
Rowing Women's Coxed Fours,1984,Summer,Los Angeles,1984 Summer
"Wrestling Men's Bantamweight, Greco-Roman",1992,Summer,Barcelona,1992 Summer
"Wrestling Men's Bantamweight, Greco-Roman",1976,Summer,Montreal,1976 Summer
"Shooting Men's Free Pistol, 50 metres",1964,Summer,Tokyo,1964 Summer
Judo Women's Half-Lightweight,2008,Summer,Beijing,2008 Summer
Judo Women's Half-Lightweight,2012,Summer,London,2012 Summer
Swimming Women's 100 metres Butterfly,2016,Summer,Rio de Janeiro,2016 Summer
"Shooting Women's Air Pistol, 10 metres",2004,Summer,Athina,2004 Summer
"Shooting Women's Sporting Pistol, 25 metres",2004,Summer,Athina,2004 Summer
"Shooting Women's Sporting Pistol, 25 metres",2008,Summer,Beijing,2008 Summer
"Cycling Men's Team Pursuit, 4,000 metres",1988,Summer,Seoul,1988 Summer
Judo Men's Half-Heavyweight,1976,Summer,Montreal,1976 Summer
Athletics Men's Discus Throw,1948,Summer,London,1948 Summer
Weightlifting Men's Super-Heavyweight,2004,Summer,Athina,2004 Summer
Softball Women's Softball,1996,Summer,Atlanta,1996 Summer
Volleyball Women's Volleyball,1992,Summer,Barcelona,1992 Summer
Volleyball Women's Volleyball,1996,Summer,Atlanta,1996 Summer
Volleyball Women's Volleyball,1988,Summer,Seoul,1988 Summer
Beach Volleyball Women's Beach Volleyball,2004,Summer,Athina,2004 Summer
Beach Volleyball Women's Beach Volleyball,2008,Summer,Beijing,2008 Summer
Athletics Women's 400 metres Hurdles,2016,Summer,Rio de Janeiro,2016 Summer
"Weightlifting Men's Unlimited, One Hand",1906,Summer,Athina,1906 Summer
Athletics Women's Discus Throw,2016,Summer,Rio de Janeiro,2016 Summer
Judo Men's Half-Heavyweight,2012,Summer,London,2012 Summer
"Athletics Men's 1,500 metres",2004,Summer,Athina,2004 Summer
Rowing Women's Quadruple Sculls,1988,Summer,Seoul,1988 Summer
Rowing Women's Quadruple Sculls,1992,Summer,Barcelona,1992 Summer
Weightlifting Men's Featherweight,1996,Summer,Atlanta,1996 Summer
"Canoeing Women's Kayak Singles, 500 metres",2016,Summer,Rio de Janeiro,2016 Summer
"Canoeing Men's Canadian Singles, 500 metres",1976,Summer,Montreal,1976 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1976,Summer,Montreal,1976 Summer
"Canoeing Men's Canadian Doubles, 500 metres",1980,Summer,Moskva,1980 Summer
Athletics Men's Hammer Throw,2016,Summer,Rio de Janeiro,2016 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",1956,Summer,Melbourne,1956 Summer
Athletics Men's 800 metres,1906,Summer,Athina,1906 Summer
"Athletics Men's 1,500 metres",1906,Summer,Athina,1906 Summer
Synchronized Swimming Women's Team,2004,Summer,Athina,2004 Summer
Athletics Men's 400 metres,1906,Summer,Athina,1906 Summer
Handball Women's Handball,1984,Summer,Los Angeles,1984 Summer
Handball Women's Handball,1988,Summer,Seoul,1988 Summer
"Fencing Men's Foil, Masters, Individual",1900,Summer,Paris,1900 Summer
"Fencing Men's epee, Masters, Individual",1900,Summer,Paris,1900 Summer
Swimming Men's 200 metres Backstroke,2012,Summer,London,2012 Summer
Archery Men's Team,1988,Summer,Seoul,1988 Summer
Archery Men's Individual,1992,Summer,Barcelona,1992 Summer
Archery Men's Team,1992,Summer,Barcelona,1992 Summer
Archery Men's Individual,1996,Summer,Atlanta,1996 Summer
Boxing Men's Bantamweight,1968,Summer,Mexico City,1968 Summer
Sailing Mixed Three Person Keelboat,1948,Summer,London,1948 Summer
Tennis Men's Singles,2004,Summer,Athina,2004 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",1980,Summer,Moskva,1980 Summer
"Wrestling Men's Light-Heavyweight, Freestyle",1980,Summer,Moskva,1980 Summer
Boxing Men's Featherweight,1964,Summer,Tokyo,1964 Summer
Gymnastics Men's Individual All-Around,1904,Summer,St. Louis,1904 Summer
"Gymnastics Men's Individual All-Around, Field Sports",1904,Summer,St. Louis,1904 Summer
"Gymnastics Men's Individual All-Around, Apparatus Work",1904,Summer,St. Louis,1904 Summer
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",1928,Summer,Amsterdam,1928 Summer
"Fencing Women's epee, Individual",2000,Summer,Sydney,2000 Summer
"Fencing Women's epee, Team",2000,Summer,Sydney,2000 Summer
"Wrestling Men's Featherweight, Greco-Roman",1948,Summer,London,1948 Summer
"Wrestling Men's Lightweight, Freestyle",1952,Summer,Helsinki,1952 Summer
"Wrestling Men's Lightweight, Greco-Roman",1956,Summer,Melbourne,1956 Summer
"Wrestling Men's Lightweight, Freestyle",1956,Summer,Melbourne,1956 Summer
Gymnastics Men's Team All-Around,2004,Summer,Athina,2004 Summer
Gymnastics Men's Team All-Around,2008,Summer,Beijing,2008 Summer
Gymnastics Men's Parallel Bars,2008,Summer,Beijing,2008 Summer
Gymnastics Men's Rings,2008,Summer,Beijing,2008 Summer
"Swimming Men's 4,000 metres Freestyle",1900,Summer,Paris,1900 Summer
Swimming Men's Underwater Swimming,1900,Summer,Paris,1900 Summer
Hockey Women's Hockey,1984,Summer,Los Angeles,1984 Summer
Athletics Women's 10 kilometres Walk,1996,Summer,Atlanta,1996 Summer
"Athletics Men's 10,000 metres",1920,Summer,Antwerpen,1920 Summer
"Wrestling Men's Middleweight, Greco-Roman",1908,Summer,London,1908 Summer
Athletics Men's Marathon,1932,Summer,Los Angeles,1932 Summer
Sailing Mixed Multihull,1992,Summer,Barcelona,1992 Summer
Rowing Women's Coxless Pairs,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's High Jump,1900,Summer,Paris,1900 Summer
Athletics Men's Pole Vault,1900,Summer,Paris,1900 Summer
Rowing Men's Coxed Pairs,1948,Summer,London,1948 Summer
"Shooting Men's Free Pistol, 50 metres",1920,Summer,Antwerpen,1920 Summer
Sailing Mixed Skiff,2004,Summer,Athina,2004 Summer
Athletics Men's 20 kilometres Walk,1988,Summer,Seoul,1988 Summer
"Wrestling Men's Lightweight, Greco-Roman",1920,Summer,Antwerpen,1920 Summer
Swimming Women's 400 metres Freestyle,1948,Summer,London,1948 Summer
Swimming Women's 400 metres Freestyle,1952,Summer,Helsinki,1952 Summer
"Cycling Men's Road Race, Individual",1932,Summer,Los Angeles,1932 Summer
Swimming Men's 4 x 100 metres Freestyle Relay,2000,Summer,Sydney,2000 Summer
Swimming Men's 4 x 200 metres Freestyle Relay,2000,Summer,Sydney,2000 Summer
Cycling Men's Sprint,1920,Summer,Antwerpen,1920 Summer
Sailing Women's Two Person Dinghy,1992,Summer,Barcelona,1992 Summer
Swimming Women's 200 metres Breaststroke,1960,Summer,Roma,1960 Summer
Rowing Men's Double Sculls,1960,Summer,Roma,1960 Summer
Boxing Men's Middleweight,1956,Summer,Melbourne,1956 Summer
Athletics Women's 800 metres,1964,Summer,Tokyo,1964 Summer
Badminton Men's Singles,2004,Summer,Athina,2004 Summer
"Athletics Men's Cross-Country, Individual",1912,Summer,Stockholm,1912 Summer
"Athletics Men's Cross-Country, Team",1912,Summer,Stockholm,1912 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",1972,Summer,Munich,1972 Summer
"Cycling Men's Road Race, Team",1948,Summer,London,1948 Summer
"Cycling Men's Team Pursuit, 4,000 metres",1952,Summer,Helsinki,1952 Summer
Rowing Men's Coxed Fours,1952,Summer,Helsinki,1952 Summer
Swimming Women's 100 metres Freestyle,1932,Summer,Los Angeles,1932 Summer
Swimming Women's 400 metres Freestyle,1932,Summer,Los Angeles,1932 Summer
Sailing Women's One Person Dinghy,1992,Summer,Barcelona,1992 Summer
"Cycling Women's Mountainbike, Cross-Country",2004,Summer,Athina,2004 Summer
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",1908,Summer,London,1908 Summer
"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",1908,Summer,London,1908 Summer
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",1912,Summer,Stockholm,1912 Summer
"Athletics Men's 3,000 metres Steeplechase",1928,Summer,Amsterdam,1928 Summer
Judo Men's Heavyweight,1984,Summer,Los Angeles,1984 Summer
Boxing Men's Flyweight,1960,Summer,Roma,1960 Summer
Athletics Women's Marathon,1984,Summer,Los Angeles,1984 Summer
Athletics Women's Marathon,1988,Summer,Seoul,1988 Summer
Swimming Women's 4 x 200 metres Freestyle Relay,2012,Summer,London,2012 Summer
"Equestrianism Men's Three-Day Event, Individual",1948,Summer,London,1948 Summer
"Equestrianism Men's Three-Day Event, Team",1948,Summer,London,1948 Summer
Athletics Men's High Jump,1996,Summer,Atlanta,1996 Summer
"Shooting Men's Running Target, Single And Double Shot",1956,Summer,Melbourne,1956 Summer
Rowing Men's Coxless Fours,1956,Summer,Melbourne,1956 Summer
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",1912,Summer,Stockholm,1912 Summer
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",1912,Summer,Stockholm,1912 Summer
"Shooting Men's Free Rifle, Three Positions, 300 metres",1964,Summer,Tokyo,1964 Summer
"Cycling Men's Individual Pursuit, 4,000 metres",1988,Summer,Seoul,1988 Summer
"Cycling Men's Individual Pursuit, 4,000 metres",1996,Summer,Atlanta,1996 Summer
"Cycling Men's Individual Pursuit, 4,000 metres",2000,Summer,Sydney,2000 Summer
Cycling Men's Sprint,1908,Summer,London,1908 Summer
Swimming Women's 10 kilometres Open Water,2012,Summer,London,2012 Summer
Swimming Women's 10 kilometres Open Water,2016,Summer,Rio de Janeiro,2016 Summer
"Shooting Mixed Free Pistol, 50 metres",1976,Summer,Montreal,1976 Summer
Diving Men's Springboard,1964,Summer,Tokyo,1964 Summer
Diving Men's Platform,1964,Summer,Tokyo,1964 Summer
Diving Men's Springboard,1968,Summer,Mexico City,1968 Summer
Athletics Women's Heptathlon,1984,Summer,Los Angeles,1984 Summer
Athletics Men's Discus Throw,1932,Summer,Los Angeles,1932 Summer
Athletics Men's 800 metres,1936,Summer,Berlin,1936 Summer
Athletics Men's 110 metres Hurdles,1912,Summer,Stockholm,1912 Summer
Diving Men's Springboard,1948,Summer,London,1948 Summer
Athletics Men's Decathlon,1924,Summer,Paris,1924 Summer
Weightlifting Men's Heavyweight,1956,Summer,Melbourne,1956 Summer
Sailing Mixed Multihull,1984,Summer,Los Angeles,1984 Summer
Athletics Men's Pole Vault,1952,Summer,Helsinki,1952 Summer
Swimming Men's 200 metres Breaststroke,1964,Summer,Tokyo,1964 Summer
"Cycling Men's Team Pursuit, 1,980 yards",1908,Summer,London,1908 Summer
"Cycling Men's 5,000 metres",1908,Summer,London,1908 Summer
Cycling Men's 20 kilometres,1908,Summer,London,1908 Summer
Cycling Men's 100 kilometres,1908,Summer,London,1908 Summer
Cricket Men's Cricket,1900,Summer,Paris,1900 Summer
Rowing Women's Coxed Eights,1984,Summer,Los Angeles,1984 Summer
"Athletics Women's 5,000 metres",1996,Summer,Atlanta,1996 Summer
"Athletics Women's 5,000 metres",2000,Summer,Sydney,2000 Summer
Swimming Men's 4 x 200 metres Freestyle Relay,1908,Summer,London,1908 Summer
Swimming Men's 200 metres Breaststroke,1908,Summer,London,1908 Summer
"Canoeing Women's Kayak Singles, 500 metres",1980,Summer,Moskva,1980 Summer
"Canoeing Women's Kayak Doubles, 500 metres",1980,Summer,Moskva,1980 Summer
"Canoeing Women's Kayak Singles, 500 metres",1984,Summer,Los Angeles,1984 Summer
"Canoeing Women's Kayak Doubles, 500 metres",1984,Summer,Los Angeles,1984 Summer
"Canoeing Women's Kayak Fours, 500 metres",1984,Summer,Los Angeles,1984 Summer
"Canoeing Women's Kayak Singles, 500 metres",1988,Summer,Seoul,1988 Summer
"Canoeing Women's Kayak Doubles, 500 metres",1988,Summer,Seoul,1988 Summer
"Canoeing Women's Kayak Fours, 500 metres",1988,Summer,Seoul,1988 Summer
"Canoeing Women's Kayak Doubles, 500 metres",1992,Summer,Barcelona,1992 Summer
"Canoeing Women's Kayak Fours, 500 metres",1996,Summer,Atlanta,1996 Summer
Athletics Men's Decathlon,1928,Summer,Amsterdam,1928 Summer
"Canoeing Men's Kayak Doubles, 500 metres",1976,Summer,Montreal,1976 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",1976,Summer,Montreal,1976 Summer
"Canoeing Men's Kayak Singles, 500 metres",1980,Summer,Moskva,1980 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",1980,Summer,Moskva,1980 Summer
Tug-Of-War Men's Tug-Of-War,1912,Summer,Stockholm,1912 Summer
Weightlifting Men's Featherweight,1948,Summer,London,1948 Summer
Weightlifting Men's Lightweight,1952,Summer,Helsinki,1952 Summer
"Athletics Men's 1,500 metres",1908,Summer,London,1908 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",1976,Summer,Montreal,1976 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",1980,Summer,Moskva,1980 Summer
"Wrestling Men's Middleweight, Freestyle",1908,Summer,London,1908 Summer
"Shooting Mixed Rapid-Fire Pistol, 25 metres",1972,Summer,Munich,1972 Summer
"Shooting Mixed Rapid-Fire Pistol, 25 metres",1976,Summer,Montreal,1976 Summer
"Shooting Men's Running Target, 10 metres",2004,Summer,Athina,2004 Summer
Swimming Men's 100 metres Freestyle,1912,Summer,Stockholm,1912 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",1976,Summer,Montreal,1976 Summer
"Wrestling Men's Heavyweight, Freestyle",1980,Summer,Moskva,1980 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",1984,Summer,Los Angeles,1984 Summer
"Wrestling Men's Light-Heavyweight, Freestyle",1984,Summer,Los Angeles,1984 Summer
Sailing Mixed Three Person Keelboat,1980,Summer,Moskva,1980 Summer
"Wrestling Men's Welterweight, Greco-Roman",1948,Summer,London,1948 Summer
"Wrestling Men's Welterweight, Greco-Roman",1952,Summer,Helsinki,1952 Summer
Swimming Women's 4 x 100 metres Medley Relay,1976,Summer,Montreal,1976 Summer
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1932,Summer,Los Angeles,1932 Summer
Athletics Men's Discus Throw,1936,Summer,Berlin,1936 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1948,Summer,London,1948 Summer
"Canoeing Men's Canadian Singles, 10,000 metres",1948,Summer,London,1948 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1952,Summer,Helsinki,1952 Summer
Diving Men's Springboard,1992,Summer,Barcelona,1992 Summer
Diving Men's Platform,1906,Summer,Athina,1906 Summer
Archery Men's Individual,2004,Summer,Athina,2004 Summer
Archery Men's Team,2004,Summer,Athina,2004 Summer
"Wrestling Men's Light-Flyweight, Greco-Roman",1984,Summer,Los Angeles,1984 Summer
"Wrestling Men's Light-Flyweight, Freestyle",1984,Summer,Los Angeles,1984 Summer
Weightlifting Men's Heavyweight,1952,Summer,Helsinki,1952 Summer
"Equestrianism Mixed Dressage, Individual",1988,Summer,Seoul,1988 Summer
"Equestrianism Mixed Dressage, Team",1988,Summer,Seoul,1988 Summer
